City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,current Description
94,Qasigiannguit,68.8193,-51.1922,48.45,60,100,7.78,GL,2021-08-07 15:06:24,overcast clouds
95,Dabat,12.9842,37.765,57.52,85,46,4.52,ET,2021-08-07 15:06:24,moderate rain
96,Cape Town,-33.9258,18.4232,65.12,80,100,1.99,ZA,2021-08-07 15:02:20,overcast clouds
97,Ostrovnoy,68.0531,39.5131,60.13,73,32,13.04,RU,2021-08-07 15:06:25,scattered clouds
98,Honiara,-9.4333,159.95,77.27,83,100,2.59,SB,2021-08-07 15:06:25,overcast clouds
99,Ilhabela,-23.7781,-45.3581,71.17,72,85,7.4,BR,2021-08-07 15:06:25,overcast clouds
100,Kaitangata,-46.2817,169.8464,37.47,91,100,5.91,NZ,2021-08-07 15:06:26,overcast clouds
101,Batagay-Alyta,67.8006,130.4114,54.1,58,71,3.42,RU,2021-08-07 15:06:26,broken clouds
102,Plymouth,41.8334,-70.8328,87.3,73,1,6.91,US,2021-08-07 15:06:26,clear sky
103,Pisco,-13.7,-76.2167,62.65,72,90,6.91,PE,2021-08-07 15:05:04,overcast clouds
104,Aykhal,66.0,111.5,54.7,78,100,10.16,RU,2021-08-07 15:06:27,overcast clouds
105,Lata,40.1629,-8.3327,79.03,33,5,12.37,PT,2021-08-07 15:06:27,clear sky
106,Tiksi,71.6872,128.8694,45.59,82,100,4.21,RU,2021-08-07 15:06:28,overcast clouds
107,Caceres,39.522,-6.3748,82.8,20,10,10.27,ES,2021-08-07 15:06:28,clear sky
108,Oktyabrskoye,43.0645,44.7417,84.34,70,40,4.47,RU,2021-08-07 15:06:29,scattered clouds
109,Colotlan,22.1,-103.2667,66.92,75,100,3.29,MX,2021-08-07 15:06:29,overcast clouds
110,Severo-Kurilsk,50.6789,156.125,53.28,86,97,14.29,RU,2021-08-07 15:06:29,overcast clouds
111,Boffa,10.1667,-14.0333,80.96,71,100,7.23,GN,2021-08-07 15:06:30,overcast clouds
112,Kamenka,51.3223,42.7678,87.04,25,78,9.71,RU,2021-08-07 15:06:30,broken clouds
113,Mahebourg,-20.4081,57.7,69.26,69,13,13.56,MU,2021-08-07 15:06:30,few clouds
114,Georgetown,5.4112,100.3354,84.88,79,20,4.61,MY,2021-08-07 15:06:31,few clouds
115,Esperance,-33.8667,121.9,60.55,64,100,19.26,AU,2021-08-07 15:06:31,overcast clouds
116,Ancud,-41.8697,-73.8203,45.43,66,86,4.59,CL,2021-08-07 15:03:01,overcast clouds
117,Beyneu,45.3167,55.2,97.61,12,0,8.79,KZ,2021-08-07 15:06:31,clear sky
118,Saint-Augustin,51.226,-58.6502,78.28,56,58,22.75,CA,2021-08-07 15:06:32,broken clouds
119,Fairbanks,64.8378,-147.7164,58.6,94,90,6.91,US,2021-08-07 15:02:55,light rain
120,Asau,46.4333,26.4,81.39,39,47,3.38,RO,2021-08-07 15:06:32,scattered clouds
121,Tura,25.5198,90.2201,74.88,98,100,5.37,IN,2021-08-07 15:06:33,overcast clouds
122,Kavieng,-2.5744,150.7967,81.99,78,81,15.48,PG,2021-08-07 15:06:33,moderate rain
123,Sorland,67.667,12.6934,73.47,77,66,6.15,NO,2021-08-07 15:06:34,broken clouds
124,Port Alfred,-33.5906,26.891,63.34,73,53,13.91,ZA,2021-08-07 15:06:34,broken clouds
125,Tiznit,29.5833,-9.5,77.0,55,2,12.01,MA,2021-08-07 15:06:34,clear sky
126,Santa Cruz De La Palma,28.6835,-17.7642,77.14,69,75,10.36,ES,2021-08-07 15:06:35,broken clouds
127,Corona,33.8753,-117.5664,87.66,82,1,4.61,US,2021-08-07 15:05:03,haze
128,Caravelas,-17.7125,-39.2481,74.19,66,98,7.23,BR,2021-08-07 15:06:35,heavy intensity rain
129,Isangel,-19.55,169.2667,69.08,77,99,8.25,VU,2021-08-07 15:06:35,overcast clouds
130,Egvekinot,66.3167,-179.1667,37.96,87,61,15.79,RU,2021-08-07 15:06:36,broken clouds
131,Saint-Philippe,-21.3585,55.7679,71.19,75,57,12.95,RE,2021-08-07 15:06:36,broken clouds
132,Kavaratti,10.5669,72.642,82.11,79,100,19.28,IN,2021-08-07 15:06:36,overcast clouds
133,Torbay,47.6666,-52.7314,76.87,80,55,18.9,CA,2021-08-07 15:06:37,broken clouds
134,Vodnyy,63.5046,53.4095,57.61,62,99,7.7,RU,2021-08-07 15:06:37,overcast clouds
135,Portales,34.1862,-103.3344,82.02,46,95,5.99,US,2021-08-07 15:06:38,overcast clouds
